a____s	41717	0.01406014
e____s	36252	0.01221823
o____s	33923	0.01143328
i____s	33808	0.01139452
n____s	32277	0.01087851
e____e	31561	0.0106372
r____s	30723	0.01035476
r____e	27765	0.00935781
t____s	27211	0.00917109
e____i	27202	0.00916806
l____s	26955	0.00908481
a____e	26685	0.00899381
a____i	25657	0.00864734
o____i	25257	0.00851252
i____e	24626	0.00829985
a____a	24199	0.00815594
o____e	24126	0.00813133
n____e	22741	0.00766454
r____i	22712	0.00765476
s____s	21778	0.00733997
s____e	21106	0.00711348
o____a	19614	0.00661063
t____e	19582	0.00659984
e____a	19071	0.00642762
e____t	18904	0.00637133
e____n	18868	0.0063592
a____t	18851	0.00635347
i____i	18798	0.00633561
c____s	18556	0.00625404
n____i	18511	0.00623888
a____'	18412	0.00620551
r____n	18370	0.00619135
u____s	18203	0.00613507
c____e	18028	0.00607609
a____n	17337	0.0058432
r____a	17071	0.00575354
s____i	16980	0.00572287
t____i	16844	0.00567704
r____t	16729	0.00563828
o____t	16666	0.00561704
l____e	16657	0.00561401
i____t	15628	0.0052672
e____l	15058	0.00507509
a____o	14878	0.00501442
i____a	14801	0.00498847
n____a	14694	0.00495241
c____i	14680	0.00494769
e____r	14630	0.00493084
e____o	14620	0.00492747
p____s	14615	0.00492578
o____n	14602	0.0049214
t____n	14553	0.00490489
o____o	14407	0.00485568
i____n	14272	0.00481018
o____r	14113	0.00475659
i____o	13923	0.00469255
a____l	13792	0.0046484
n____n	13754	0.00463559
c____n	13731	0.00462784
u____e	13347	0.00449842
s____n	13333	0.0044937
h____s	13106	0.0044172
e____'	13033	0.00439259
p____i	12928	0.0043572
r____r	12925	0.00435619
n____t	12873	0.00433867
r____l	12806	0.00431608
l____i	12806	0.00431608
s____a	12597	0.00424564
t____a	12397	0.00417824
o____l	12284	0.00414015
m____s	12269	0.0041351
s____t	12248	0.00412802
c____a	12235	0.00412364
r____o	12213	0.00411622
p____e	12106	0.00408016
a____r	12066	0.00406668
t____l	12044	0.00405926
l____n	12029	0.00405421
m____e	11876	0.00400264
i____'	11527	0.00388502
d____s	11338	0.00382132
o____'	11025	0.00371582
l____a	10958	0.00369324
b____s	10905	0.00367538
n____r	10862	0.00366089
p____n	10832	0.00365078
i____r	10830	0.0036501
u____i	10809	0.00364302
h____e	10706	0.00360831
t____t	10568	0.0035618
i____l	10543	0.00355337
m____i	10512	0.00354292
p____a	10464	0.00352675
c____r	10390	0.00350181
s____l	10073	0.00339496
n____o	10003	0.00337137
c____l	9981	0.00336396
c____o	9956	0.00335553
n____l	9882	0.00333059
p____o	9880	0.00332992
t____o	9818	0.00330902
r____'	9725	0.00327768
t____r	9583	0.00322982
u____a	9564	0.00322341
m____a	9516	0.00320724
c____t	9487	0.00319746
d____e	9414	0.00317286
l____t	9365	0.00315634
l____r	9326	0.0031432
u____n	9182	0.00309467
p____t	9146	0.00308253
b____e	8984	0.00302793
u____t	8919	0.00300603
s____o	8897	0.00299861
s____r	8822	0.00297333
g____s	8811	0.00296963
o____c	8793	0.00296356
h____i	8644	0.00291334
e____c	8504	0.00286616
e____d	8294	0.00279538
e____g	8175	0.00275527
d____i	8173	0.0027546
p____l	8122	0.00273741
p____r	8038	0.0027091
r____c	7991	0.00269326
l____'	7924	0.00267067
m____n	7905	0.00266427
l____o	7824	0.00263697
o____h	7814	0.0026336
n____'	7776	0.00262079
r____d	7661	0.00258203
g____i	7637	0.00257394
i____y	7607	0.00256383
g____e	7478	0.00252036
a____g	7467	0.00251665
h____n	7384	0.00248867
b____i	7324	0.00246845
u____r	7288	0.00245632
s____'	7191	0.00242363
h____a	7163	0.00241419
m____r	6976	0.00235116
d____n	6947	0.00234139
t____'	6937	0.00233802
o____d	6791	0.00228881
m____t	6755	0.00227668
a____d	6754	0.00227634
h____r	6713	0.00226252
o____u	6676	0.00225005
a____c	6676	0.00225005
p____c	6529	0.00220051
u____l	6524	0.00219882
h____o	6501	0.00219107
u____o	6486	0.00218602
m____l	6325	0.00213175
h____t	6128	0.00206536
m____o	6047	0.00203806
f____s	5993	0.00201986
o____g	5888	0.00198447
e____u	5856	0.00197368
d____t	5833	0.00196593
d____a	5825	0.00196324
i____d	5784	0.00194942
l____l	5723	0.00192886
i____g	5669	0.00191066
b____n	5622	0.00189482
r____m	5598	0.00188673
a____u	5584	0.00188201
c____c	5571	0.00187763
n____c	5561	0.00187426
a____h	5561	0.00187426
o____m	5497	0.00185269
i____c	5452	0.00183752
c____'	5434	0.00183145
r____u	5409	0.00182303
a____m	5371	0.00181022
d____r	5327	0.00179539
i____u	5278	0.00177888
t____c	5253	0.00177045
e____m	5224	0.00176068
n____d	5191	0.00174955
o____y	5139	0.00173203
y____s	5133	0.00173001
g____n	5132	0.00172967
i____m	5116	0.00172428
n____u	5111	0.00172259
t____y	5046	0.00170068
s____c	5045	0.00170035
b____a	5043	0.00169967
f____e	5037	0.00169765
e____h	5033	0.0016963
v____s	4967	0.00167406
l____d	4960	0.0016717
r____g	4925	0.0016599
f____i	4813	0.00162215
u____'	4786	0.00161305
s____d	4736	0.0015962
t____m	4721	0.00159115
c____d	4694	0.00158205
b____r	4688	0.00158003
t____d	4646	0.00156587
h____'	4605	0.00155205
e____y	4577	0.00154261
b____t	4570	0.00154026
r____y	4561	0.00153722
g____a	4503	0.00151767
d____o	4490	0.00151329
d____l	4411	0.00148667
h____l	4387	0.00147858
m____c	4377	0.00147521
e____p	4370	0.00147285
l____c	4369	0.00147251
n____m	4315	0.00145431
a____y	4235	0.00142735
m____'	4230	0.00142566
t____g	4223	0.0014233
r____p	4155	0.00140039
y____e	4135	0.00139364
u____d	4053	0.00136601
p____'	4038	0.00136095
d____'	4003	0.00134916
p____d	3994	0.00134612
w____s	3955	0.00133298
s____h	3954	0.00133264
u____g	3945	0.00132961
k____s	3927	0.00132354
n____p	3821	0.00128782
u____c	3766	0.00126928
s____g	3754	0.00126523
r____h	3751	0.00126422
c____m	3705	0.00124872
t____u	3703	0.00124804
b____o	3670	0.00123692
y____i	3661	0.00123389
s____m	3632	0.00122412
n____g	3625	0.00122176
l____g	3614	0.00121805
g____t	3575	0.0012049
o____p	3504	0.00118097
f____n	3479	0.00117255
b____y	3469	0.00116918
h____d	3463	0.00116716
b____l	3462	0.00116682
n____y	3429	0.0011557
p____m	3424	0.00115401
p____u	3383	0.00114019
v____n	3375	0.0011375
g____r	3350	0.00112907
h____c	3345	0.00112739
g____l	3332	0.001123
u____u	3291	0.00110919
g____'	3270	0.00110211
t____h	3267	0.0011011
g____o	3247	0.00109436
v____e	3242	0.00109267
v____i	3217	0.00108425
c____u	3200	0.00107852
n____h	3196	0.00107717
p____g	3193	0.00107616
s____u	3183	0.00107279
w____e	3180	0.00107177
t____p	3164	0.00106638
f____r	3151	0.001062
h____m	3145	0.00105998
l____y	3116	0.0010502
a____p	3110	0.00104818
s____y	3107	0.00104717
b____'	3083	0.00103908
i____p	3080	0.00103807
y____a	3075	0.00103639
l____m	3054	0.00102931
f____a	2972	0.00100167
c____g	2936	0.00098954
i____h	2935	0.0009892
m____d	2883	0.00097168
k____e	2881	0.000971
y____o	2843	0.00095819
p____h	2802	0.00094438
c____y	2767	0.00093258
f____t	2734	0.00092146
f____l	2679	0.00090292
h____g	2653	0.00089416
p____p	2639	0.00088944
m____g	2631	0.00088674
h____h	2623	0.00088405
f____o	2622	0.00088371
u____m	2595	0.00087461
l____h	2567	0.00086517
c____h	2553	0.00086045
r____b	2530	0.0008527
m____m	2519	0.00084899
l____u	2515	0.00084765
s____b	2506	0.00084461
d____c	2427	0.00081799
p____y	2426	0.00081765
w____r	2412	0.00081293
v____a	2407	0.00081125
v____r	2392	0.00080619
d____d	2378	0.00080147
w____n	2362	0.00079608
m____u	2347	0.00079102
v____'	2346	0.00079069
e____k	2296	0.00077383
e____b	2285	0.00077013
u____y	2268	0.0007644
c____p	2260	0.0007617
s____p	2259	0.00076136
y____n	2251	0.00075867
u____p	2238	0.00075429
m____h	2221	0.00074856
h____p	2211	0.00074519
a____b	2200	0.00074148
v____t	2159	0.00072766
h____y	2129	0.00071755
v____l	2119	0.00071418
m____y	2118	0.00071384
r____v	2092	0.00070508
d____m	2082	0.00070171
m____p	2032	0.00068486
n____b	2005	0.00067576
y____t	2000	0.00067407
b____h	1985	0.00066902
u____h	1961	0.00066093
a____k	1957	0.00065958
h____u	1917	0.0006461
y____r	1890	0.000637
b____c	1886	0.00063565
y____l	1873	0.00063127
g____y	1872	0.00063093
c____b	1860	0.00062689
y____'	1853	0.00062453
d____u	1833	0.00061779
d____g	1833	0.00061779
b____d	1819	0.00061307
k____i	1807	0.00060902
e____v	1797	0.00060565
v____o	1783	0.00060094
o____b	1783	0.00060094
k____n	1775	0.00059824
i____v	1752	0.00059049
g____d	1752	0.00059049
k____'	1720	0.0005797
l____p	1711	0.00057667
d____y	1703	0.00057397
p____b	1700	0.00057296
t____b	1677	0.00056521
o____v	1668	0.00056218
b____m	1666	0.0005615
w____i	1622	0.00054667
s____f	1598	0.00053858
x____i	1573	0.00053016
k____a	1524	0.00051364
o____k	1510	0.00050892
b____g	1496	0.00050421
k____r	1476	0.00049747
d____h	1469	0.00049511
b____u	1441	0.00048567
d____p	1431	0.0004823
f____'	1427	0.00048095
g____c	1413	0.00047623
e____f	1411	0.00047556
i____b	1410	0.00047522
z____s	1393	0.00046949
y____h	1380	0.00046511
y____c	1365	0.00046005
u____b	1365	0.00046005
f____d	1364	0.00045972
m____b	1322	0.00044556
w____'	1310	0.00044152
z____n	1288	0.0004341
i____k	1278	0.00043073
g____g	1273	0.00042905
w____a	1267	0.00042702
x____e	1259	0.00042433
l____b	1246	0.00041995
v____c	1241	0.00041826
r____k	1236	0.00041658
u____v	1223	0.0004122
u____k	1209	0.00040748
w____l	1171	0.00039467
f____c	1163	0.00039197
r____f	1145	0.00038591
u____f	1130	0.00038085
g____m	1121	0.00037782
n____v	1120	0.00037748
q____i	1117	0.00037647
s____k	1099	0.0003704
t____f	1098	0.00037007
y____d	1097	0.00036973
a____f	1082	0.00036467
n____f	1072	0.0003613
x____a	1072	0.0003613
a____v	1066	0.00035928
c____v	1060	0.00035726
n____k	1036	0.00034917
j____e	1029	0.00034681
q____e	1027	0.00034614
h____b	1022	0.00034445
x____s	1017	0.00034277
v____g	1006	0.00033906
g____h	993	0.00033468
k____t	987	0.00033265
w____o	985	0.00033198
g____u	980	0.0003303
v____d	972	0.0003276
i____f	968	0.00032625
w____t	938	0.00031614
k____o	938	0.00031614
f____u	934	0.00031479
p____f	923	0.00031108
x____t	917	0.00030906
t____v	912	0.00030738
l____k	905	0.00030502
y____y	904	0.00030468
o____f	894	0.00030131
a____w	885	0.00029828
s____w	884	0.00029794
y____m	881	0.00029693
k____l	876	0.00029524
j____s	873	0.00029423
f____h	869	0.00029288
t____k	855	0.00028817
j____i	836	0.00028176
c____f	828	0.00027907
p____v	821	0.00027671
z____e	819	0.00027603
j____n	819	0.00027603
w____d	815	0.00027468
d____b	808	0.00027233
d____v	796	0.00026828
m____f	795	0.00026794
j____a	787	0.00026525
e____w	784	0.00026424
c____k	777	0.00026188
v____u	750	0.00025278
r____w	749	0.00025244
s____v	745	0.00025109
v____m	731	0.00024637
q____s	730	0.00024604
j____r	720	0.00024267
f____b	720	0.00024267
y____u	715	0.00024098
v____b	706	0.00023795
f____g	704	0.00023727
w____h	682	0.00022986
b____b	677	0.00022817
o____z	676	0.00022784
a____z	662	0.00022312
o____w	662	0.00022312
l____f	661	0.00022278
u____w	657	0.00022143
i____w	647	0.00021806
y____p	640	0.0002157
m____k	638	0.00021503
z____a	623	0.00020997
x____r	615	0.00020728
m____v	614	0.00020694
k____h	611	0.00020593
k____d	606	0.00020424
v____y	598	0.00020155
p____k	598	0.00020155
h____k	595	0.00020054
h____w	592	0.00019953
x____o	586	0.0001975
d____k	586	0.0001975
l____v	585	0.00019717
g____p	581	0.00019582
b____w	580	0.00019548
q____t	580	0.00019548
y____g	577	0.00019447
r____z	575	0.0001938
x____n	566	0.00019076
b____p	562	0.00018941
e____z	561	0.00018908
f____y	560	0.00018874
f____m	558	0.00018807
w____y	543	0.00018301
z____i	543	0.00018301
o____x	541	0.00018234
d____f	537	0.00018099
q____a	537	0.00018099
k____g	527	0.00017762
j____t	517	0.00017425
g____b	516	0.00017391
q____n	513	0.0001729
k____y	511	0.00017223
z____'	502	0.00016919
a____x	494	0.0001665
c____w	491	0.00016548
n____w	487	0.00016414
c____z	481	0.00016211
k____k	472	0.00015908
t____z	465	0.00015672
z____r	464	0.00015638
h____f	460	0.00015504
w____b	457	0.00015403
g____f	454	0.00015301
t____w	453	0.00015268
j____'	452	0.00015234
j____o	447	0.00015066
q____r	445	0.00014998
b____v	444	0.00014964
i____z	438	0.00014762
w____m	438	0.00014762
s____z	434	0.00014627
q____l	432	0.0001456
b____f	431	0.00014526
k____c	425	0.00014324
p____x	423	0.00014257
w____g	422	0.00014223
w____w	420	0.00014156
b____k	417	0.00014054
e____x	416	0.00014021
p____w	414	0.00013953
m____w	395	0.00013313
z____o	395	0.00013313
l____w	394	0.00013279
h____v	383	0.00012908
q____u	376	0.00012673
f____v	373	0.00012571
w____u	371	0.00012504
j____l	367	0.00012369
c____x	360	0.00012133
v____p	349	0.00011763
z____t	343	0.0001156
t____x	341	0.00011493
p____z	332	0.0001119
f____f	327	0.00011021
r____x	323	0.00010886
f____w	323	0.00010886
w____c	320	0.00010785
n____z	316	0.0001065
x____l	315	0.00010617
v____v	312	0.00010516
k____m	310	0.00010448
n____x	309	0.00010414
k____u	308	0.00010381
x____'	301	0.00010145
h____z	292	9.841e-05
g____k	290	9.774e-05
x____u	289	9.74e-05
g____w	288	9.707e-05
j____d	288	9.707e-05
l____z	283	9.538e-05
z____l	282	9.504e-05
q____'	276	9.302e-05
g____v	274	9.235e-05
v____h	267	8.999e-05
f____p	265	8.931e-05
u____z	263	8.864e-05
v____f	262	8.83e-05
m____z	259	8.729e-05
h____x	259	8.729e-05
u____x	258	8.696e-05
z____g	256	8.628e-05
x____m	255	8.594e-05
i____x	253	8.527e-05
x____h	249	8.392e-05
s____x	246	8.291e-05
q____o	244	8.224e-05
w____k	239	8.055e-05
z____h	226	7.617e-05
w____f	225	7.583e-05
d____w	224	7.55e-05
q____d	219	7.381e-05
w____p	214	7.213e-05
j____y	206	6.943e-05
x____d	191	6.437e-05
k____p	187	6.303e-05
j____c	187	6.303e-05
y____k	182	6.134e-05
v____k	182	6.134e-05
q____c	180	6.067e-05
b____z	177	5.966e-05
x____y	174	5.864e-05
z____m	174	5.864e-05
m____x	173	5.831e-05
f____k	173	5.831e-05
k____b	170	5.73e-05
j____u	166	5.595e-05
z____d	166	5.595e-05
c____q	157	5.291e-05
r____q	156	5.258e-05
j____v	156	5.258e-05
j____h	151	5.089e-05
y____x	149	5.022e-05
q____h	147	4.954e-05
z____c	145	4.887e-05
y____b	145	4.887e-05
q____b	138	4.651e-05
d____z	138	4.651e-05
j____m	136	4.584e-05
k____w	135	4.55e-05
q____y	135	4.55e-05
x____c	133	4.483e-05
l____x	130	4.381e-05
n____q	128	4.314e-05
u____q	127	4.28e-05
a____j	126	4.247e-05
x____p	125	4.213e-05
z____u	125	4.213e-05
y____f	124	4.179e-05
k____f	122	4.112e-05
g____z	121	4.078e-05
z____y	120	4.044e-05
y____w	117	3.943e-05
k____v	117	3.943e-05
d____x	116	3.91e-05
p____q	116	3.91e-05
o____q	115	3.876e-05
x____b	114	3.842e-05
i____j	107	3.606e-05
e____q	107	3.606e-05
q____f	106	3.573e-05
j____b	104	3.505e-05
a____q	103	3.471e-05
j____g	101	3.404e-05
j____f	100	3.37e-05
q____m	100	3.37e-05
n____j	99	3.337e-05
x____g	97	3.269e-05
b____x	93	3.134e-05
w____v	92	3.101e-05
u____j	91	3.067e-05
z____k	91	3.067e-05
k____z	91	3.067e-05
t____q	90	3.033e-05
y____z	88	2.966e-05
v____w	85	2.865e-05
m____q	85	2.865e-05
i____q	85	2.865e-05
s____j	77	2.595e-05
h____q	71	2.393e-05
s____q	69	2.326e-05
j____p	68	2.292e-05
z____p	68	2.292e-05
v____z	65	2.191e-05
p____j	64	2.157e-05
o____j	64	2.157e-05
y____v	61	2.056e-05
q____g	59	1.989e-05
e____j	59	1.989e-05
f____z	58	1.955e-05
z____b	57	1.921e-05
v____x	56	1.887e-05
b____q	54	1.82e-05
l____q	53	1.786e-05
z____f	49	1.651e-05
z____z	49	1.651e-05
j____k	48	1.618e-05
r____j	48	1.618e-05
d____q	47	1.584e-05
m____j	45	1.517e-05
t____j	40	1.348e-05
q____z	40	1.348e-05
c____j	35	1.18e-05
l____j	34	1.146e-05
k____j	33	1.112e-05
q____p	33	1.112e-05
j____w	32	1.079e-05
b____j	30	1.011e-05
g____q	28	9.44e-06
j____z	28	9.44e-06
'____e	27	9.1e-06
z____v	26	8.76e-06
q____w	24	8.09e-06
f____x	24	8.09e-06
x____z	24	8.09e-06
g____x	20	6.74e-06
q____v	20	6.74e-06
x____f	19	6.4e-06
z____w	17	5.73e-06
v____q	16	5.39e-06
k____x	15	5.06e-06
x____v	15	5.06e-06
'____r	14	4.72e-06
d____j	14	4.72e-06
f____q	14	4.72e-06
'____y	14	4.72e-06
'____s	13	4.38e-06
g____j	12	4.04e-06
'____l	12	4.04e-06
y____q	12	4.04e-06
v____j	11	3.71e-06
x____k	11	3.71e-06
'____a	11	3.71e-06
z____x	11	3.71e-06
w____x	11	3.71e-06
q____x	10	3.37e-06
q____q	10	3.37e-06
