e	712548
s	694228
a	647370
i	646048
r	575640
n	564099
o	539957
t	525360
l	455936
c	383536
u	339523
m	305091
d	304380
p	301864
h	286501
'	268674
g	244581
's	227797
y	209441
b	205980
er	180211
in	159011
es	142040
f	133859
v	130176
on	128761
ti	127179
k	123912
an	123499
is	114386
te	112213
at	108410
en	108067
w	105774
al	102335
ri	102082
re	101389
ra	99553
ne	97479
le	97128
st	96755
li	94473
ar	94028
ic	86797
ro	86253
or	80285
nt	79090
ng	76439
la	73773
z	70327
it	70206
se	69516
x	68920
co	66137
ni	65884
ed	65202
ia	64635
un	63161
ss	63126
to	62941
io	62377
ta	61603
ch	61600
el	61447
de	61320
ca	61254
ma	61083
j	59878
ll	59376
q	57892
tr	57571
he	55978
me	54996
na	54891
lo	53663
di	53107
no	52889
ol	52714
il	52619
et	52606
us	52243
si	51853
as	51677
ac	51381
th	49979
mi	49521
ou	47676
pe	47587
om	47245
ph	47171
ha	47025
hi	45886
ns	45702
ie	45229
nd	44983
os	44455
ve	44428
ho	44344
ea	43923
op	43414
ur	43029
ce	42334
id	42143
ly	42014
e'	40401
ot	37849
pr	37596
nc	37535
ul	37119
am	36884
ec	36444
mo	36223
po	35850
pa	35687
em	35639
rs	35499
ab	35038
ge	34768
sh	34297
sa	33393
ci	32927
oc	32160
da	31524
ap	30731
n'	30218
og	29669
sc	29515
ad	29447
bl	29445
pi	29205
su	28461
ct	28377
ba	27891
be	27749
bi	27615
rt	27560
so	27004
s'	26849
um	26628
do	26479
sm	26136
ut	26083
a'	25474
ag	25458
sp	25112
vi	25091
ga	25059
ep	24823
im	24788
ae	24696
gi	24655
cr	24118
od	23912
ke	23429
gr	22966
ir	22842
ee	22665
bo	22655
hy	22646
oo	22455
ai	22140
ck	22124
tu	21752
iv	21718
r'	21703
ry	21651
ip	21343
ts	21331
ig	21271
ty	21259
tt	21251
cu	21214
pl	20637
lu	20528
fi	20528
mp	20028
br	19997
rm	19985
rd	19473
ru	19471
au	19400
rr	18590
ov	18335
rc	17920
qu	17435
t'	17426
y'	17269
if	16948
wa	16835
oi	16694
va	16685
bu	16548
dr	16548
ki	16528
go	16340
fo	16100
nn	16063
gl	16001
eo	15991
cl	15920
ei	15804
ob	15691
rn	15381
fe	15260
ub	15239
eu	15024
up	14848
ib	14818
ow	14751
uc	14747
ex	14659
mb	14191
pt	14188
eg	13683
ui	13574
mu	13540
hr	13452
ua	13424
rg	13126
gu	12952
yl	12833
fl	12524
ps	12435
ev	12274
we	12247
lt	12243
pu	12161
ys	12038
av	12032
wi	11953
oa	11935
yp	11901
ud	11854
ue	11854
fa	11853
pp	11829
rp	11822
wo	11806
mm	11729
ls	11572
du	11566
ef	11433
cy	11433
